Material,Speed of Sound (m/s),Density (kg/m³)
Water,1482,1000
Steel,5400,5500
Aluminum,5100,2700
Plastic,2320,1120
Paper,1750,1000
Wood,1750,800
Bone,1600,1950
Human Tissue,1550,1075
Human Skin,1620,1100
Glass,5400,2500
Concrete,3700,2400
Foam,150,50
Ceramic,5000,3000
Acrylic,2730,1180
